recommendationid,reviewerid,review_count,game_count,playtime_forever,playtime_at_review,playtime_last_two_week
76364527,76561198298161896,30,0,5010,4327,0
76311813,76561198364640618,6,0,7926,6138,0
76307383,76561198202369102,48,0,3174,1760,0
76291953,76561199026645197,10,0,201,201,0
76254637,76561198113602800,26,0,2898,2898,0
76233470,76561197961470504,10,0,19,19,0
76228019,76561198018857855,2,0,497,330,0
76188139,76561197995817906,26,0,176,176,0
76141982,76561198826835495,8,49,2656,2589,0
76034452,76561198153435459,75,53,307,307,0
75962520,76561198820136555,8,0,748,748,0
75929736,76561198278736034,20,88,35056,6213,0
75910682,76561198027968666,7,0,137,68,0
75892162,76561197984715764,101,0,918,918,0
75891975,76561197968918923,9,0,749,749,0
75870327,76561197963852890,17,0,4132,3094,0
75820197,76561198021739629,13,0,12349,11309,0
75814307,76561198042704582,5,0,2875,2875,0
75531489,76561198349115793,2,0,3952,2333,0
75344509,76561198086598459,20,299,14035,13789,0
75120621,76561198365509004,13,0,6990,6636,0
75083070,76561198396643137,30,0,8274,3082,0
74948458,76561199062447991,7,0,1033,652,0
74809852,76561198815006180,3,0,38176,15854,0
74633285,76561198256952735,13,0,3277,3276,0
74612493,76561198034361451,5,78,964,964,0
74485498,76561198184414090,2,0,559146,266563,829
74447897,76561198154638656,34,0,5659,4519,0
74325397,76561198024479327,6,0,1162,856,0
74148105,76561198798271399,36,0,1117,1117,0
73916179,76561197999635541,23,1538,277567,27250,2086
73632248,76561198046903569,1,0,3593,3593,0
73578268,76561198096208474,13,0,3604,3588,0
73184153,76561198046374230,20,434,11750,11700,0
72751422,76561197996082014,1,0,2143,197,0
72542247,76561198827259529,37,40,3148,2284,0
72364548,76561198013740148,54,145,14041,14041,0
71342035,76561198059432181,14,282,6746,6741,0
71084252,76561198802781859,6,0,5951,4161,0
70949972,76561197997198744,22,412,30225,14545,0
70916242,76561198253320644,5,0,411,398,0
70916029,76561198286022859,2,0,415,415,0
70827006,76561198043261425,17,0,16700,1021,0
70700230,76561198260142469,10,0,1165,264,0
70656808,76561198079120170,4,45,445,216,0
70625770,76561198010206081,3,0,192,192,0
70595429,76561197972893200,7,0,2380,2380,0
70450602,76561198156688841,130,0,256,256,0
70029796,76561198330763501,4,270,6759,3315,0
69447995,76561197993909123,9,0,318902,60176,0
69349380,76561198028684900,53,0,34634,22851,0
69149706,76561197969523202,11,348,3962,3962,0
69068171,76561198301021031,2,87,14406,14406,0
68750634,76561198113605397,11,0,12779,11662,0
68583723,76561198163253194,36,168,20668,15475,122
68558812,76561198130065356,5,0,49402,19711,0
68360971,76561198124273395,110,1352,10,10,0
68185088,76561198025566029,42,739,2697,2697,0
67553257,76561198079565792,11,0,846,762,0
67316853,76561198005527865,3,0,45434,45241,0
67104218,76561197993496124,32,0,676,358,0
67047132,76561198079157912,49,63,14457,10052,0
66610337,76561198051062093,12,0,929,85,0
66113160,76561198044818176,6,0,6640,4934,0
65599195,76561198177155689,21,0,118115,113967,0
64790461,76561198018456775,26,0,2963,2963,0
63920918,76561198849394381,26,0,42497,3785,0
63887845,76561198053682721,228,785,517,328,0
63851908,76561198040095009,24,0,443,443,0
63803771,76561198042175328,203,0,1903,1224,0
63778322,76561198046840306,11,0,39388,14699,0
63773964,76561198019458765,9,62,24400,14469,0
62475068,76561198269521911,2,0,278,278,0
62169966,76561198043770121,7,0,3401,2492,0
62142129,76561198011090966,7,0,129586,3364,0
62140998,76561198023664404,105,1632,1344,1133,0
62126955,76561198153641215,21,125,970,320,0
62121612,76561198262555573,1,0,32655,26583,0
62120880,76561198064287020,9,0,240,240,0
62097845,76561198198326113,8,184,2116,1918,0
62082685,76561198135514789,10,0,2356,960,0
61969433,76561197998699581,57,0,1054,672,0
61966618,76561198975255205,13,85,30064,310,0
61930850,76561198871559727,46,259,404,8,0
61881686,76561198279802367,3,0,16219,327,0
61859476,76561198165727118,54,146,1079,230,0
58942209,76561198001056942,4,0,71260,12249,319
58733532,76561198956242827,2,0,4519,2445,0
58458631,76561198050245011,30,299,20046,9109,0
58387590,76561197975320676,10,0,2987,828,0
58091001,76561197970519110,16,0,6611,6441,0
57815412,76561198446208112,10,93,1369,565,0
57625015,76561198118825474,12,0,3376,3376,0
57529783,76561198329132431,14,0,2220,1524,0
57513565,76561198069463126,31,0,3776,1436,0
55473653,76561198413130523,1,0,40265,19335,0
55468889,76561198857177134,3,0,5399,1482,0
55375621,76561198328237055,11,0,11672,11616,0
55354700,76561198048274208,180,638,4763,4384,0
55337525,76561198973533656,1,0,1954,1804,0
55331681,76561198106199945,4,0,1334,1334,0
55313787,76561198201775807,23,0,5265,4975,0
55307758,76561198992246033,2,0,3705,2749,0
55297991,76561198010582764,48,0,11167,8650,0
55279233,76561198129995966,26,229,1716,73,0
55279183,76561198311627380,6,77,4318,2115,0
55274015,76561198933210050,1,0,33,33,0
55247293,76561198099884456,15,94,883,768,0
55246128,76561197980738821,13,0,121894,103973,0
55238174,76561198158181193,30,0,3888,2816,0
55201941,76561198002810381,3,266,164,150,0
55178326,76561197978069161,35,0,43,43,0
55146455,76561198003516300,14,0,349268,125299,0
55103520,76561198344678290,9,40,58111,4385,0
54955217,76561197989042080,43,398,9308,1482,0
54513160,76561198170141086,4,81,2760,2261,0
53426216,76561197977835402,34,0,195602,64025,415
53095950,76561198148930571,10,0,11026,10880,0
52514259,76561198855986461,1,0,20,20,0
52172590,76561197986206475,8,0,16167,13960,0
52113396,76561197995260837,6,0,56,56,0
51933070,76561197960905909,175,0,31,31,0
51452696,76561197978997600,3,33,741,741,0
51331960,76561198387513686,3,0,41990,5362,0
51328534,76561198892378903,15,0,1782,1328,0
51326552,76561198091961728,9,0,23620,20741,0
51325185,76561198061345220,9,359,402,296,0
51298756,76561198853651924,5,0,141,129,0
51286060,76561198023439280,5,132,201698,82144,0
51267205,76561197982614807,17,0,20136,16810,0
51263961,76561197999323398,45,0,6782,4460,0
51260019,76561198040927790,31,275,14399,7901,0
51249984,76561198847067734,19,70,3729,90,0
51229344,76561198061737246,3,0,8275,4871,0
